City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1,Bethel,US,41.3712,-73.414,66.56,83,5,3.53,clear sky
2,North Bend,US,43.4065,-124.2243,61.92,100,100,1.97,overcast clouds
3,Lompoc,US,34.6391,-120.4579,73.56,69,75,12.66,broken clouds
4,Wabash,US,40.7978,-85.8205,73.87,79,2,7.76,clear sky
5,Kapaa,US,22.0752,-159.319,83.19,69,61,5.01,broken clouds
6,Santa Barbara,US,34.7333,-120.0343,67.59,58,0,10.36,clear sky
9,Duluth,US,46.7833,-92.1066,67.03,96,100,6.91,fog
12,Billings,US,45.7833,-108.5007,73.29,40,100,1.99,overcast clouds
14,Fortuna,US,40.5982,-124.1573,63.93,78,100,1.99,overcast clouds
17,Kodiak,US,57.79,-152.4072,56.93,57,100,2.93,overcast clouds
18,Kahului,US,20.8947,-156.47,85.84,70,47,11.01,scattered clouds
20,Starkville,US,33.4504,-88.8184,77.67,88,0,0.0,clear sky
21,Palmer,US,42.1584,-72.3287,62.49,84,24,5.17,few clouds
22,Elizabeth City,US,36.2946,-76.2511,70.02,85,0,5.86,clear sky
25,Fernley,US,39.608,-119.2518,74.75,19,32,8.99,scattered clouds
26,Brownsville,US,25.9018,-97.4975,85.08,73,42,5.01,scattered clouds
31,Plymouth,US,41.8334,-70.8328,63.72,73,6,6.44,clear sky
34,Spencer,US,43.1414,-95.1444,76.51,75,56,10.09,broken clouds
38,Pacific Grove,US,36.6177,-121.9166,70.38,82,10,5.99,clear sky
43,Sitka,US,57.0531,-135.33,57.56,70,69,4.83,broken clouds
46,Barrow,US,71.2906,-156.7887,33.82,100,100,21.85,mist
48,Havelock,US,34.8791,-76.9013,74.95,90,99,5.73,overcast clouds
57,Robinson,US,31.4677,-97.1147,87.66,55,40,0.0,scattered clouds
58,Norfolk,US,42.1668,-71.2495,63.73,80,6,1.99,clear sky
59,Mayo,US,38.8876,-76.5119,73.18,88,57,10.54,broken clouds
60,Watertown,US,42.3709,-71.1828,64.13,70,7,4.0,clear sky
64,Hilo,US,19.7297,-155.09,88.29,80,9,5.01,clear sky
66,Fort Thomas,US,39.0751,-84.4472,74.19,73,52,4.47,broken clouds
68,Nantucket,US,41.2835,-70.0995,63.0,57,0,11.23,clear sky
69,Clemson,US,34.6834,-82.8374,72.5,77,0,0.0,clear sky
74,Logan,US,41.7355,-111.8344,66.9,64,100,1.01,overcast clouds
75,Alamosa,US,37.4695,-105.87,69.78,18,0,9.22,clear sky
80,Clarksburg,US,39.2807,-80.3445,70.84,96,14,1.7,few clouds
82,Pacifica,US,37.6138,-122.4869,67.62,88,100,10.0,overcast clouds
86,Laredo,US,27.5064,-99.5075,87.78,53,3,17.54,clear sky
87,Willmar,US,45.1219,-95.0433,75.22,69,0,0.0,clear sky
88,Kenai,US,60.5544,-151.2583,57.15,77,0,22.66,clear sky
89,Jamestown,US,42.097,-79.2353,68.72,54,85,5.23,overcast clouds
90,Indianola,US,41.3581,-93.5574,68.25,99,100,8.81,overcast clouds
91,College,US,64.8569,-147.8028,57.2,53,99,3.0,overcast clouds
94,Wilmington,US,34.2257,-77.9447,77.9,76,100,1.01,overcast clouds
95,Brookhaven,US,31.5791,-90.4407,74.8,67,0,4.45,clear sky
96,Rexburg,US,43.826,-111.7897,62.58,55,100,0.0,overcast clouds
98,Half Moon Bay,US,37.4636,-122.4286,70.88,79,100,5.75,overcast clouds
100,Saint George,US,37.1041,-113.5841,88.63,19,0,7.0,clear sky
101,Harrisburg,US,40.2737,-76.8844,70.68,77,100,4.12,overcast clouds
103,South Hill,US,47.1412,-122.2701,65.62,63,0,8.01,clear sky
106,Saraland,US,30.8207,-88.0706,82.06,80,37,3.87,scattered clouds
